x: 11011100 220  y: 11011100 250
x: 10100011 163  y: 10100011 26
x: 01111110 126  y: 01111110 63
x: 00010101 21  y: 00010101 89
x: 10001010 138  y: 10001010 225
x: 10010001 145  y: 10010001 42
x: 10011011 155  y: 10011011 231
x: 10101101 173  y: 10101101 137
x: 11001110 206  y: 11001110 149
x: 11000111 199  y: 11000111 164
x: 01100101 101  y: 01100101 8
x: 10001110 142  y: 10001110 17
x: 10000011 131  y: 10000011 103
x: 10100001 161  y: 10100001 126
x: 11110010 242  y: 11110010 96
x: 10100101 165  y: 10100101 198
x: 11110010 242  y: 11110010 162
x: 10001110 142  y: 10001110 230
x: 10011010 154  y: 10011010 165
x: 00001110 14  y: 00001110 170
x: 01001001 73  y: 01001001 3
x: 10000010 130  y: 10000010 58
x: 10000001 129  y: 10000001 132
x: 01100101 101  y: 01100101 49
x: 01110001 113  y: 01110001 92
x: 00001001 9  y: 00001001 62
x: 11000001 193  y: 11000001 31
x: 11000000 192  y: 11000000 138
x: 11100011 227  y: 11100011 38
x: 11110100 244  y: 11110100 206
x: 01001100 76  y: 01001100 187
x: 00000100 4  y: 00000100 178
x: 10111000 184  y: 10111000 129
x: 00010100 20  y: 00010100 163
x: 01111110 126  y: 01111110 37
x: 01010100 84  y: 01010100 162
x: 01001001 73  y: 01001001 155
x: 00100000 32  y: 00100000 194
x: 10000111 135  y: 10000111 202
x: 11000101 197  y: 11000101 36
x: 00010101 21  y: 00010101 20
x: 01011001 89  y: 01011001 253
x: 01001011 75  y: 01001011 249
x: 10110000 176  y: 10110000 157
x: 10100010 162  y: 10100010 206
x: 00101110 46  y: 00101110 197
x: 10110101 181  y: 10110101 72
x: 00110100 52  y: 00110100 51
x: 00011101 29  y: 00011101 221
x: 01100010 98  y: 01100010 72
x: 11110101 245  y: 11110101 189
x: 10000000 128  y: 10000000 212
x: 00010010 18  y: 00010010 77
x: 11111101 253  y: 11111101 97
x: 11001110 206  y: 11001110 228
x: 10100001 161  y: 10100001 220
x: 01101101 109  y: 01101101 223
x: 10110100 180  y: 10110100 129
x: 10100100 164  y: 10100100 235
x: 00100001 33  y: 00100001 235
x: 11101010 234  y: 11101010 41
x: 11010111 215  y: 11010111 239
x: 11000000 192  y: 11000000 205
x: 11010000 208  y: 11010000 217
x: 01100010 98  y: 01100010 84
x: 00010011 19  y: 00010011 208
x: 10101111 175  y: 10101111 44
x: 00010000 16  y: 00010000 160
x: 00011100 28  y: 00011100 22
x: 10101011 171  y: 10101011 51
x: 01011000 88  y: 01011000 187
x: 11011010 218  y: 11011010 239
x: 11011110 222  y: 11011110 144
x: 01111011 123  y: 01111011 66
x: 01010010 82  y: 01010010 5
x: 10111000 184  y: 10111000 144
x: 00101101 45  y: 00101101 162
x: 01110011 115  y: 01110011 83
x: 01110110 118  y: 01110110 16
x: 11001101 205  y: 11001101 7
x: 01000111 71  y: 01000111 153
x: 01011101 93  y: 01011101 223
x: 10001110 142  y: 10001110 136
x: 11000001 193  y: 11000001 34
x: 11010010 210  y: 11010010 14
x: 10111001 185  y: 10111001 201
x: 00000010 2  y: 00000010 12
x: 10111000 184  y: 10111000 40
x: 11010010 210  y: 11010010 55
x: 10101111 175  y: 10101111 62
x: 01010010 82  y: 01010010 230
x: 11001111 207  y: 11001111 60
x: 11001011 203  y: 11001011 122
x: 00010110 22  y: 00010110 195
x: 11101101 237  y: 11101101 184
x: 00000001 1  y: 00000001 25
x: 01110000 112  y: 01110000 221
x: 00010010 18  y: 00010010 126
x: 10001001 137  y: 10001001 253
x: 11001001 201  y: 11001001 77
x: 10001011 139  y: 10001011 197
x: 01111001 121  y: 01111001 54
x: 01000001 65  y: 01000001 149
x: 11110110 246  y: 11110110 160
x: 00110111 55  y: 00110111 215
x: 11001000 200  y: 11001000 72
x: 01011101 93  y: 01011101 198
x: 11101110 238  y: 11101110 19
x: 00110110 54  y: 00110110 147
x: 10010111 151  y: 10010111 78
x: 10000100 132  y: 10000100 45
x: 11010111 215  y: 11010111 217
x: 00010100 20  y: 00010100 33
x: 00101110 46  y: 00101110 222
x: 11110111 247  y: 11110111 190
x: 00010110 22  y: 00010110 94
x: 01101001 105  y: 01101001 169
x: 10100110 166  y: 10100110 189
x: 10001010 138  y: 10001010 73
x: 01010000 80  y: 01010000 123
x: 11001001 201  y: 11001001 234
x: 11110011 243  y: 11110011 115
x: 01000111 71  y: 01000111 209
x: 11010011 211  y: 11010011 236
x: 10001011 139  y: 10001011 161
x: 00110000 48  y: 00110000 211
x: 11011010 218  y: 11011010 160
x: 01011000 88  y: 01011000 93
x: 10000111 135  y: 10000111 88
x: 10000100 132  y: 10000100 90
x: 01100001 97  y: 01100001 75
x: 10010101 149  y: 10010101 223
x: 01111000 120  y: 01111000 230
x: 11101111 239  y: 11101111 26
x: 01010010 82  y: 01010010 107
x: 10000001 129  y: 10000001 173
x: 11101010 234  y: 11101010 47
x: 00100010 34  y: 00100010 93
x: 01000101 69  y: 01000101 188
x: 01001110 78  y: 01001110 125
x: 01100101 101  y: 01100101 48
x: 10011101 157  y: 10011101 5
x: 11000010 194  y: 11000010 147
x: 01111001 121  y: 01111001 29
x: 01111110 126  y: 01111110 170
x: 11111100 252  y: 11111100 253
x: 00010100 20  y: 00010100 2
x: 10100111 167  y: 10100111 189
x: 11100100 228  y: 11100100 96
x: 01101001 105  y: 01101001 118
x: 11011001 217  y: 11011001 151
x: 10001001 137  y: 10001001 103
x: 11110011 243  y: 11110011 243
x: 00010010 18  y: 00010010 179
x: 10110110 182  y: 10110110 224
x: 11111001 249  y: 11111001 11
x: 00111000 56  y: 00111000 241
x: 01011111 95  y: 01011111 173
x: 10011000 152  y: 10011000 71
x: 00001001 9  y: 00001001 16
x: 01011010 90  y: 01011010 230
x: 00000111 7  y: 00000111 166
x: 10101000 168  y: 10101000 164
x: 01000000 64  y: 01000000 146
x: 01011111 95  y: 01011111 197
x: 00010111 23  y: 00010111 80
x: 01101000 104  y: 01101000 206
x: 11000001 193  y: 11000001 2
x: 11111001 249  y: 11111001 188
x: 00111000 56  y: 00111000 29
x: 01001011 75  y: 01001011 14
x: 01100111 103  y: 01100111 209
x: 00001001 9  y: 00001001 231
x: 11011011 219  y: 11011011 141
x: 10100110 166  y: 10100110 18
x: 10110100 180  y: 10110100 237
x: 11101100 236  y: 11101100 230
x: 00100101 37  y: 00100101 131
x: 01010100 84  y: 01010100 218
x: 10000011 131  y: 10000011 69
x: 00000110 6  y: 00000110 103
x: 10110011 179  y: 10110011 47
x: 00001000 8  y: 00001000 190
x: 10010100 148  y: 10010100 147
x: 10000101 133  y: 10000101 111
x: 01111010 122  y: 01111010 232
x: 00010111 23  y: 00010111 241
x: 00010010 18  y: 00010010 2
x: 11110010 242  y: 11110010 86
x: 10101010 170  y: 10101010 181
x: 01000001 65  y: 01000001 153
x: 00100000 32  y: 00100000 173
